School Number,School Code,Name,District,ENG,NEP,MATH,SCI,SOC,HPE,TAP,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT,SEM
132,3054,JYOTI VIDYA MANDIR MALAPATH,ILAM,26.3,46.4,36.7,24.5,36.8,34.9,17,17,0,1,5,0,6,11,35.3,-0.12
133,3055,PRABODH MA VI MABU-5,ILAM,32.1,41.8,33.7,29.4,43.1,46.1,17,17,0,1,10,1,12,5,70.6,23.07
134,3057,RASTRIYA MA VI KOLBOTE,ILAM,23,38.4,36.8,28.5,45.5,38.7,40,40,0,2,12,4,18,22,45,5.68
135,3058,MOTIRAM MA VI JIRMALE SALAKPUR ILAM,ILAM,20.1,42.6,38.1,32,35.8,37.5,51,51,0,1,23,1,25,26,49,9.09
136,3059,SAMALBUNG MA VI SAMALBUNG,ILAM,31.2,48.9,41.6,34.2,35,45,44,44,0,6,18,2,26,18,59.1,16.94
137,3061,BISHNU SECONDARY SCHOOL PHUYETAPPA ILAM,ILAM,28,44.3,46.6,37.2,47.5,39.8,51,51,0,5,32,2,39,12,76.5,28.39
138,3062,GREEN VALLEY ACADEMY MA VI ILAM,ILAM,61,71.2,75.5,47.5,66.9,51.6,10,10,4,6,0,0,10,0,100,61.86
139,3066,BAL MANDAL MA VI JASBIRE,ILAM,24.6,40.1,27.7,22.4,37.8,38.4,49,48,0,0,12,6,18,30,37.5,-0.13
140,3067,PYANG MA VI PYANG-5,ILAM,22.1,41.8,26.1,31.6,41,39.8,59,59,0,3,16,2,21,38,35.6,0.42
141,4000,PRIVATE JHAPA,JHAPA,24.5,34.9,19.4,25.1,35.4,36.5,11,11,0,0,1,1,2,9,18.2,-13.5
142,4001,BHADRAPUR MA VI BHADRAPUR,JHAPA,23.8,37.3,20.1,20.3,32,30.3,146,145,0,3,9,8,20,125,13.8,-13.27
143,4002,DILLIRAJ MA VI TANGANDUBBA,JHAPA,29.4,39.6,35,32.3,37.3,41.3,85,84,0,11,28,8,47,37,56,14.97
144,4003,MAHENDRA RATNA MA VI ANARMANI,JHAPA,19.6,41.8,34.3,23.1,35.9,47.1,174,174,1,5,30,2,38,136,21.8,-6.55
145,4004,HIMALI MA VI PRITHIVINAGAR,JHAPA,21.3,36.4,32.5,28.6,35.4,38,87,87,0,1,19,9,29,58,33.3,-1.82
146,4005,MOTI MA VI DHARAMPUR,JHAPA,25.1,41.1,24.9,27.5,37.5,39.2,51,51,0,5,3,1,9,42,17.6,-11.11
147,4006,SAGARMATHA AWASIYA MA VI ANARMANI,JHAPA,46.6,44.3,50.6,38,40.9,41,24,24,0,5,11,1,17,7,70.8,25.42
148,4007,PRAGATI MA VI JUROPANI,JHAPA,30.9,51.4,46.2,33.7,47.7,47,53,53,1,10,28,0,39,14,73.6,28.59
149,4008,DURGA MA VI GARAMANI,JHAPA,24.8,43.9,32.1,24.5,42.1,32.3,167,167,0,10,36,17,63,104,37.7,3.29
150,4009,LITTLE FLOWER ENGLISH MA VI ANARMANI,JHAPA,57,59.1,80.2,53.8,56.8,54.7,122,122,20,92,10,0,122,0,100,59.03
151,4010,KANKAI AWASIYA ENGLISH MA VI BIRTAMOD,JHAPA,46.2,47.9,57.9,42.7,45,47.6,58,58,0,23,29,0,52,5,89.7,42.01
152,4011,BIRENDRA MA VI CHANDRAGADHI,JHAPA,22.7,41.7,37.7,29.5,48.5,39.4,80,80,0,11,17,2,30,49,37.5,3.59
153,4012,PASHUPATI MA VI RAJGADHA,JHAPA,25.7,39.3,31.6,31.4,36.1,39.2,164,164,0,17,37,9,63,101,38.4,4.75
154,4013,BANI MA VI LAKHANPUR,JHAPA,18.1,35.9,30,24.1,37.6,37.6,137,137,0,8,19,6,33,104,24.1,-5.88
155,4014,JANA JAGRITI MA VI GOLDHAP,JHAPA,20.6,39,34.9,27.2,36.6,35.2,206,206,0,13,29,19,61,144,29.6,-1.18
156,4015,LAKSHMI MA VI BANIYANI,JHAPA,25.9,35.3,28.4,28.5,27.7,34.7,91,91,0,8,9,2,19,72,20.9,-8.31
157,4016,SIDDHARTHA BOARDING MA VI DAMAK,JHAPA,54.2,51.4,78.1,39.4,50.5,49.8,86,86,3,70,13,0,86,0,100,55.33
158,4017,NARENDRA JANTA MA VI TOPGACHHI,JHAPA,28.4,50.6,47.8,26.6,44.4,36,28,28,0,4,14,2,20,8,71.4,24.76
159,4018,ADARSHA MA VI BUDHABARE JAYPUR,JHAPA,25.5,44.7,46,31.1,45.1,48.8,131,131,2,21,40,5,68,63,51.9,14.57
160,4019,CHULACHULI ENGLISH BOARDING MA VI DAMAK,JHAPA,55.1,49,71.8,45,51.1,49.8,64,64,1,52,11,0,64,0,100,54.33
161,4020,ADARSHA VIDYAMANDIR MA VI GHAILADUBBA,JHAPA,29.1,40.4,38.9,31.4,47.6,32.9,41,41,0,1,26,5,32,9,78,27.45
162,4021,DHULABARI MA VI DHULABARI,JHAPA,16.4,30.7,18.9,19.6,30.9,30.8,168,168,0,2,6,3,11,157,6.5,-17.43
163,4022,BUDDHA ADARSHA MA VI JAYPUR BUDHABARE,JHAPA,28.9,42.4,39.7,31.5,41.1,40.5,170,169,0,10,61,37,108,61,63.9,19.72
164,4023,BALBHADRA JANTA MA VI DHAIJAN,JHAPA,19.4,43.9,29,24.1,34.8,35.7,111,111,1,6,11,2,20,91,18,-9.98
165,4024,BHRIKUTI MA VI DURGAPUR,JHAPA,20.5,43.3,22.6,22.9,40.3,36.2,120,119,0,7,16,1,24,95,20.2,-8.48
166,4025,TRIBHUWAN MA VI PANCHGACHI,JHAPA,24.7,41.1,32.9,19.8,36.6,29.9,76,76,0,4,15,4,23,53,30.3,-3.04
